Algoritmo;Tamanho;Ordem;Comparacoes;Trocas;Tempo(s)
bolha;10000;1;49995000;24952888;0,123975900
bolhaComParada;10000;1;49981281;24952888;0,113096200
selecaoDireta;10000;1;49995000;9992;0,062152700
ordenaBinaria;10000;1;118964;24952888;0,026141100
ordenaTernaria;10000;1;127826;24953471;0,027724700
shellSort;10000;1;241227;170323;0,000978900
ordenaDireta;10000;1;24962883;24952888;0,043063400
heapSort;10000;1;235476;124263;0,000954800
mergeSortWrapper;10000;1;120494;267232;0,001869400
quicksortcentro;10000;1;178399;35092;0,000842000
quicksortfim;10000;1;153440;32287;0,001470300
quicksortmediana;10000;1;189379;41162;0,000857200
radixSort;10000;1;9999;100000;0,000349300
bucketSort;10000;1;9999;10000;0,000173600
bolha;10000;2;49995000;0;0,065942600
bolhaComParada;10000;2;9999;0;0,000011900
selecaoDireta;10000;2;49995000;0;0,060647200
ordenaBinaria;10000;2;113631;0;0,000279900
ordenaTernaria;10000;2;150486;0;0,000287400
shellSort;10000;2;75243;0;0,000154600
ordenaDireta;10000;2;9999;0;0,000027800
heapSort;10000;2;244460;131956;0,000740900
mergeSortWrapper;10000;2;69008;267232;0,001170500
quicksortcentro;10000;2;143615;9999;0,000268500
quicksortfim;10000;2;49995000;9999;0,041165800
quicksortmediana;10000;2;173612;9999;0,000265700
radixSort;10000;2;9999;80000;0,000486000
bucketSort;10000;2;9999;10000;0,000052100
bolha;10000;3;49995000;49995000;0,145119700
bolhaComParada;10000;3;49995000;49995000;0,139207900
selecaoDireta;10000;3;49995000;5000;0,062966000
ordenaBinaria;10000;3;123617;49995000;0,050881500
ordenaTernaria;10000;3;75243;49995000;0,052320900
shellSort;10000;3;120190;53704;0,000253300
ordenaDireta;10000;3;49995000;49995000;0,088918300
heapSort;10000;3;226682;116696;0,000716000
mergeSortWrapper;10000;3;64608;267232;0,001047300
quicksortcentro;10000;3;143614;14998;0,000279500
quicksortfim;10000;3;50000000;9999;0,043015800
quicksortmediana;10000;3;173611;15000;0,000369800
